Film,Rule,Class
Captain Marvel,whenver a 90's reference is made,S
Captain Marvel,whenver a Skroll changes its form,M
Captain Marvel,when we find out how Fury lost his eye,L
Captain Marvel,when the hero is in their super-suit for the first time,M
Captain Marvel,whenver there is an explosion,S
Captain Marvel,at the inevitable Stan Lee cameo,L
Captain Marvel,whenver Nick Fury is sassy,S
Captain Marvel,"whenever a ""Real"" song plays",M
Captain Marvel,whenever someone mentions a fictional location,S
Captain Marvel,when the primary villain is defeated,L
Captain Marvel,whenever any character drinks anything,S
Captain Marvel,whenever anyone fires a laser beam or energy weapon,S
Captain Marvel,"at the first ""epic"" shot of the hero(es)",L
Captain Marvel,whenever someone enters or drives a spaceship/futuristic vehicle,S
Captain Marvel,whenever there is an unexpectedly comical moment,M
Captain Marvel,"whenever a ""good"" character is shockingly revealed to be evil!",L
Civil War,when Spider-Man is introduced,L
Civil War,"whenver  ""Avengers"" or ""Winter Soldier"" is said",S
Civil War,whenver a location title is shown,M
Civil War,whenver someone goes through a wall/building,M
Civil War,whenver someone appears with a black eye,M
Civil War,when we find out who killed Stark's parents,L
Civil War,whenver there is an explosion,S
Civil War,at the inevitable Stan Lee cameo,L
Civil War,whenever someone mentions a fictional location,S
Civil War,whenever Hydra are mentioned,S
Civil War,whenever Captain America's shield disregards the laws of physics,S
Civil War,whenever any character drinks anything,S
Civil War,whenever Howard Stark appears or is mentioned,S
Civil War,whenever anyone fires a laser beam or energy weapon,S
Civil War,"at the first ""epic"" shot of the hero(es)",L
Civil War,whenever someone enters or drives a spaceship/futuristic vehicle,S
Civil War,whenever there is an unexpectedly comical moment,M
Civil War,whenever there is slow motion,M
Civil War,whenever Ant-man changes size,S
Civil War,"whenever a ""good"" character is shockingly revealed to be evil!",L
Civil War,your chosen hero uses their powers (each pick a separate hero at the start),M
Civil War,whenever Thor throws or spins his hammer,S
Doctor Strange,"whenver the words ""Dark Dimension"", ""Ancient One"" or ""Astral Body"" are said",S
Doctor Strange,whenver  Strange corrects someone that he is indeed a doctor,M
Doctor Strange,whenver The cape saves Strange,M
Doctor Strange,whenver we see acid trip visuals,M
Doctor Strange,whenver the mirror dimension appears,S
Doctor Strange,whenver we see orange sparky chains!,S
Doctor Strange,when Strange scales Everest?,L
Doctor Strange,when the hero is in their super-suit for the first time,M
Doctor Strange,whenver there is an explosion,S
Doctor Strange,at the inevitable Stan Lee cameo,L
Doctor Strange,whenever someone mentions a fictional location,S
Doctor Strange,at the first appearance of a blatently CG villain,M
Doctor Strange,whenever anyone or anything goes through a portal or wormhole,S
Doctor Strange,whenever Hydra are mentioned,S
Doctor Strange,when the primary villain is defeated,L
Doctor Strange,whenever any character drinks anything,S
Doctor Strange,when the name of the film is said by a character for the first time,L
Doctor Strange,whenever anyone fires a laser beam or energy weapon,S
Doctor Strange,"at the first ""epic"" shot of the hero(es)",L
Doctor Strange,whenever there is an unexpectedly comical moment,M
Endgame,"at the heavy-handed ""Girl Power"" scene",L
Endgame,when Steve lifts Mjolnir,L
Endgame,"whenver the words ""Avengers"", ""Thanos"", ""Stones"" or ""Time"" are said",S
Endgame,whenver there is a location or year title onscreen,M
Endgame,"whenver an Avenger runs into their prior self, spouse or parent while traveling time",M
Endgame,whenver a stone is obtained by the Avengers,M
Endgame,whenver an Avenger dies,M
Endgame,for America's ass,M
Endgame,whenver there is an explosion,S
Endgame,at the inevitable Stan Lee cameo,L
Endgame,whenver Nick Fury is sassy,S
Endgame,whenever someone mentions a fictional location,S
Endgame,at the first appearance of a blatently CG villain,M
Endgame,whenever anyone or anything goes through a portal or wormhole,S
Endgame,whenever Hydra are mentioned,S
Endgame,whenever Captain America's shield disregards the laws of physics,S
Endgame,when the primary villain is defeated,L
Endgame,whenever any character drinks anything,S
Endgame,whenever Howard Stark appears or is mentioned,S
Endgame,whenever anyone fires a laser beam or energy weapon,S
Endgame,"at the first ""epic"" shot of the hero(es)",L
Endgame,whenever someone enters or drives a spaceship/futuristic vehicle,S
Endgame,whenever there is an unexpectedly comical moment,M
Endgame,whenever Ant-man changes size,S
Endgame,your chosen hero uses their powers (each pick a separate hero at the start),M
Endgame,whenever Thor throws or spins his hammer,S
Guardians of the Galaxy,whenver Drax takes a comment or action literally,M
Guardians of the Galaxy,whenver Yondu whistles his arrow around,M
Guardians of the Galaxy,whenver someone doesn't know who Star Lord is,M
Guardians of the Galaxy,"for every ""I am Groot""",S
Guardians of the Galaxy,"at ""They got my dick message!""",L
Guardians of the Galaxy,"whenver ""Thanos"" or ""Orb"" is said",S
Guardians of the Galaxy,whenver there is an explosion,S
Guardians of the Galaxy,at the inevitable Stan Lee cameo,L
Guardians of the Galaxy,"whenever a ""Real"" song plays",M
Guardians of the Galaxy,whenever someone mentions a fictional location,S
Guardians of the Galaxy,when the primary villain is defeated,L
Guardians of the Galaxy,whenever any character drinks anything,S
Guardians of the Galaxy,when the name of the film is said by a character for the first time,L
Guardians of the Galaxy,whenever anyone fires a laser beam or energy weapon,S
Guardians of the Galaxy,"at the first ""epic"" shot of the hero(es)",L
Guardians of the Galaxy,whenever someone enters or drives a spaceship/futuristic vehicle,S
Guardians of the Galaxy,whenever there is an unexpectedly comical moment,M
Guardians of the Galaxy,whenever there is slow motion,M
Guardians of the Galaxy 2,"whenver the words ""Star Lord"", ""Battery"" or ""Dad"" are said",S
Guardians of the Galaxy 2,whenver Drax laughs,M
Guardians of the Galaxy 2,whenver a new planet/location is shown,M
Guardians of the Galaxy 2,"at ""I'm Mary Poppins y'all!""",L
Guardians of the Galaxy 2,whenver there is an explosion,S
Guardians of the Galaxy 2,at the inevitable Stan Lee cameo,L
Guardians of the Galaxy 2,"whenever a ""Real"" song plays",M
Guardians of the Galaxy 2,whenever someone mentions a fictional location,S
Guardians of the Galaxy 2,at the first appearance of a blatently CG villain,M
Guardians of the Galaxy 2,when the primary villain is defeated,L
Guardians of the Galaxy 2,whenever any character drinks anything,S
Guardians of the Galaxy 2,when the name of the film is said by a character for the first time,L
Guardians of the Galaxy 2,whenever anyone fires a laser beam or energy weapon,S
Guardians of the Galaxy 2,"at the first ""epic"" shot of the hero(es)",L
Guardians of the Galaxy 2,whenever someone enters or drives a spaceship/futuristic vehicle,S
Guardians of the Galaxy 2,whenever there is an unexpectedly comical moment,M
Guardians of the Galaxy 2,whenever there is slow motion,M
Guardians of the Galaxy 2,"whenever a ""good"" character is shockingly revealed to be evil!",L
Infinity War,whenver someone is forced to chose between protecting/obtaining an Infinity Stone and someone else's life.,M
Infinity War,whenver thanos uses an infinity stone,S
Infinity War,"at ""The Snap""",L
Infinity War,"whenver the words ""Thanos"", ""Stone"" or ""Avengers"" are said",S
Infinity War,whenver the movie switches between Earth and space,S
Infinity War,whenver a location title is shown,M
Infinity War,whenver Rocket is referred to as a rabbit,M
Infinity War,whenver Thanos obtains an Infinity Stone,M
Infinity War,whenver there is an explosion,S
Infinity War,at the inevitable Stan Lee cameo,L
Infinity War,whenver Nick Fury is sassy,S
Infinity War,whenever someone mentions a fictional location,S
Infinity War,at the first appearance of a blatently CG villain,M
Infinity War,whenever anyone or anything goes through a portal or wormhole,S
Infinity War,whenever Captain America's shield disregards the laws of physics,S
Infinity War,whenever any character drinks anything,S
Infinity War,whenever anyone fires a laser beam or energy weapon,S
Infinity War,"at the first ""epic"" shot of the hero(es)",L
Infinity War,whenever someone enters or drives a spaceship/futuristic vehicle,S
Infinity War,whenever there is an unexpectedly comical moment,M
Infinity War,whenever there is slow motion,M
Infinity War,your chosen hero uses their powers (each pick a separate hero at the start),M
Infinity War,whenever Thor throws or spins his hammer,S
Iron Man,whenver his suit malfunctions,M
Iron Man,whenver you see a hologram or heads-up display,S
Iron Man,"whenver someone says ""Shield""",S
Iron Man,when Iron Man flies for the first time,L
Iron Man,"whenever the word ""Stark"" is said or seen",S
Iron Man,when the hero is in their super-suit for the first time,M
Iron Man,whenver there is an explosion,S
Iron Man,at the inevitable Stan Lee cameo,L
Iron Man,"whenever a ""Real"" song plays",M
Iron Man,whenever you see that awful Iron Man face-cam,S
Iron Man,when the primary villain is defeated,L
Iron Man,whenever any character drinks anything,S
Iron Man,whenever Howard Stark appears or is mentioned,S
Iron Man,when the name of the film is said by a character for the first time,L
Iron Man,whenever anyone fires a laser beam or energy weapon,S
Iron Man,"at the first ""epic"" shot of the hero(es)",L
Iron Man,whenever there is an unexpectedly comical moment,M
Iron Man,"whenever a ""good"" character is shockingly revealed to be evil!",L
Iron Man 2,"whenver someone says ""Bird""",S
Iron Man 2,whenver Tony's [poor] health is referenced,S
Iron Man 2,when Tony discovers a new element,M
Iron Man 2,at “My Greatest Creation… Is You”,L
Iron Man 2,"whenever the word ""Stark"" is said or seen",S
Iron Man 2,when the hero is in their super-suit for the first time,M
Iron Man 2,whenver there is an explosion,S
Iron Man 2,at the inevitable Stan Lee cameo,L
Iron Man 2,whenver Nick Fury is sassy,S
Iron Man 2,"whenever a ""Real"" song plays",M
Iron Man 2,whenever you see that awful Iron Man face-cam,S
Iron Man 2,when the primary villain is defeated,L
Iron Man 2,whenever any character drinks anything,S
Iron Man 2,whenever Howard Stark appears or is mentioned,S
Iron Man 2,when the name of the film is said by a character for the first time,L
Iron Man 2,whenever anyone fires a laser beam or energy weapon,S
Iron Man 2,"at the first ""epic"" shot of the hero(es)",L
Iron Man 2,whenever there is an unexpectedly comical moment,M
Iron Man 2,whenever an Avenger not named in title appears,M
Iron Man 3,whenver someone banters with their suit's artificial intelligence,M
Iron Man 3,"whenver anyone says ""Mandarin""",S
Iron Man 3,whenver there’s a reference to New York / The Avengers,M
Iron Man 3,whenver one of the Iron Man suits is destroyed,S
Iron Man 3,whenver Killian breaths fire/lava,M
Iron Man 3,"whenver the ""Mandarin"" is revealed",L
Iron Man 3,"whenever the word ""Stark"" is said or seen",S
Iron Man 3,when the hero is in their super-suit for the first time,M
Iron Man 3,whenver there is an explosion,S
Iron Man 3,at the inevitable Stan Lee cameo,L
Iron Man 3,whenever you see that awful Iron Man face-cam,S
Iron Man 3,when the primary villain is defeated,L
Iron Man 3,whenever any character drinks anything,S
Iron Man 3,when the name of the film is said by a character for the first time,L
Iron Man 3,whenever anyone fires a laser beam or energy weapon,S
Iron Man 3,"at the first ""epic"" shot of the hero(es)",L
Iron Man 3,whenever there is an unexpectedly comical moment,M
Iron Man 3,"whenever a ""good"" character is shockingly revealed to be evil!",L
The Avengers,whenver someone makes a pop culture reference,M
The Avengers,"at ""Puny God""",L
The Avengers,"whenver anyone says ""Loki"" or ""Tesseract""",S
The Avengers,whenver someone gets blue'd by Loki's staff,M
The Avengers,whenver Tony calls someone a nickname instead of their real/hero name,M
The Avengers,at Coulson's death,L
The Avengers,whenver there is an explosion,S
The Avengers,at the inevitable Stan Lee cameo,L
The Avengers,whenver Nick Fury is sassy,S
The Avengers,whenever someone mentions a fictional location,S
The Avengers,whenever anyone or anything goes through a portal or wormhole,S
The Avengers,whenever Hydra are mentioned,S
The Avengers,whenever Captain America's shield disregards the laws of physics,S
The Avengers,whenever any character drinks anything,S
The Avengers,whenever Howard Stark appears or is mentioned,S
The Avengers,when the name of the film is said by a character for the first time,L
The Avengers,whenever anyone fires a laser beam or energy weapon,S
The Avengers,"at the first ""epic"" shot of the hero(es)",L
The Avengers,whenever there is an unexpectedly comical moment,M
The Avengers,whenever there is slow motion,M
The Avengers,your chosen hero uses their powers (each pick a separate hero at the start),M
The Avengers,whenever Thor throws or spins his hammer,S
Thor,"whenver anyone says ""Thor"" or ""Asgard""",S
Thor,whenver there is lightning,S
Thor,"at “This drink, I like it! Another!”. Then, of course, take a second.",M
Thor,whenver the camera is at a jaunty angle for no reason,M
Thor,at “Is it madness….is it?!… IS IT?!”,L
Thor,whenver there is an explosion,S
Thor,at the inevitable Stan Lee cameo,L
Thor,whenever someone mentions a fictional location,S
Thor,at the first appearance of a blatently CG villain,M
Thor,whenever anyone or anything goes through a portal or wormhole,S
Thor,when the primary villain is defeated,L
Thor,whenever any character drinks anything,S
Thor,when the name of the film is said by a character for the first time,L
Thor,whenever anyone fires a laser beam or energy weapon,S
Thor,"at the first ""epic"" shot of the hero(es)",L
Thor,whenever there is an unexpectedly comical moment,M
Thor,whenever Thor throws or spins his hammer,S
Thor Ragnarok,"whenver the words ""Ragnarok"" ""Asgard"" or ""Grand Master"" are said",S
Thor Ragnarok,whenver someone is electrocuted,S
Thor Ragnarok,whenver another avenger is referenced,S
Thor Ragnarok,whenver Korg is comic relief,M
Thor Ragnarok,when Mjolnir is destroyed,M
Thor Ragnarok,when Thor summons lightning from within,L
Thor Ragnarok,whenver Hulk transforms,M
Thor Ragnarok,whenver Jeff Goldblum goes full Jeff Goldblum,M
Thor Ragnarok,whenver there is an explosion,S
Thor Ragnarok,at the inevitable Stan Lee cameo,L
Thor Ragnarok,"whenever a ""Real"" song plays",M
Thor Ragnarok,whenever someone mentions a fictional location,S
Thor Ragnarok,at the first appearance of a blatently CG villain,M
Thor Ragnarok,whenever any character drinks anything,S
Thor Ragnarok,when the name of the film is said by a character for the first time,L
Thor Ragnarok,whenever anyone fires a laser beam or energy weapon,S
Thor Ragnarok,"at the first ""epic"" shot of the hero(es)",L
Thor Ragnarok,whenever someone enters or drives a spaceship/futuristic vehicle,S
Thor Ragnarok,whenever there is an unexpectedly comical moment,M
Thor Ragnarok,whenever there is slow motion,M
Thor Ragnarok,whenever an Avenger not named in title appears,M
Thor Ragnarok,whenever Thor throws or spins his hammer,S
Thor: The Dark World,"whenver anyone says ""Thor"", ""Asgard"" or ""Aether""",S
Thor: The Dark World,whenver Thor flips a table.,M
Thor: The Dark World,at “You must be truly desperate to come to me for help.”,M
Thor: The Dark World,at Frigga’s Funeral,M
Thor: The Dark World,"at ""Ta-dah!""",L
Thor: The Dark World,whenver there is an explosion,S
Thor: The Dark World,at the inevitable Stan Lee cameo,L
Thor: The Dark World,whenever someone mentions a fictional location,S
Thor: The Dark World,whenever anyone or anything goes through a portal or wormhole,S
Thor: The Dark World,when the primary villain is defeated,L
Thor: The Dark World,whenever any character drinks anything,S
Thor: The Dark World,when the name of the film is said by a character for the first time,L
Thor: The Dark World,whenever anyone fires a laser beam or energy weapon,S
Thor: The Dark World,"at the first ""epic"" shot of the hero(es)",L
Thor: The Dark World,whenever someone enters or drives a spaceship/futuristic vehicle,S
Thor: The Dark World,whenever there is an unexpectedly comical moment,M
Thor: The Dark World,whenever an Avenger not named in title appears,M
Thor: The Dark World,whenever Thor throws or spins his hammer,S
